Sample ID,Source,Country,Lat,Long,Date,Note,Basin,Type,Class,Geothermal Field,Unit (milligram),Depth (m),Temperature,Density,pH,Alkalinity,(H)CO3,F_mg,Cl_mg,Br_mg,I_mg,SO4_mg,NO3_mg,PO4_mg,B_mg,Si_mg,As_mg,NH4_mg,Na_mg,K_mg,Li_mg,Ca_mg,Mg_mg,Al_mg,Fe_mg,Mn_mg,Zn_mg,Sr_mg,Ba_mg,Rb_mg,Cs_mg,TDS,d18O,d2H,d11B,d13C,87Sr/86Sr,d7Li,d18O (SO4),d34S (SO4),,Unit (mol),Alkalinity,Cl,Br,SO4,B,Si,Na,K,Li,Ca,Mg,NH4,% error,Na/Cl,Mg/Li
CAN-a,"Risacher and Fritz, 1991",Bolivia,-21.500589,-68.014431,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,7.5,1,6.5,1.7,,,270.48,,,124.88,,,1.1,29.5,,,144.83,20.4,1.3,60.12,18.01,,,,,,,,,808,,,,,,,,,,mmol/L,1.7,7.63,,1.3,0.102,1.05,6.3,0.522,0.187,1.5,0.741,,-1.9,0.83,13.9
CAN-b,"Risacher and Fritz, 1991",Bolivia,-21.516788,-68.019366,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,12.2,1,7.18,1.4,,,201.71,,,90.3,,,0.97,32,,,105.98,16.11,1,43.28,16.41,,,,,,,,,629,,,,,,,,,,mmol/L,1.39,5.69,,0.94,0.09,1.14,4.61,0.412,0.144,1.08,0.675,,-1.6,0.81,16.4
CAN-c,"Risacher and Fritz, 1991",Bolivia,-21.540941,-67.970314,,location approximate from digitized map,Laguna Canapa,Stream,Inflow,,mg/L,,5,1,7.23,0.5,,,3.76,,,36.02,,,0.35,22,,,12.51,2.81,0.05,8.98,3.6,,,,,,,,,147,,,,,,,,,,mmol/L,0.53,0.106,,0.375,0.032,0.783,0.544,0.072,7.20E-03,0.224,0.148,,-0.7,5.13,72
CAN-d,"Risacher and Fritz, 1991",Bolivia,-21.575405,-67.937151,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,8.5,1,3.8,-0.1,,,1.6,,,54.75,,,0.22,1.5,,,1.64,4.18,0.07,10.74,2.97,,,,,,,,,79,,,,,,,,,,mmol/L,-0.064,0.045,,0.57,0.02,0.052,0.0715,0.107,0.01,0.268,0.122,,-7.3,1.59,42.4
CAN-e,"Risacher and Fritz, 1991",Bolivia,-21.488627,-67.97363,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,7,1,6.2,0.1,,,0.85,,,10.66,,,0.28,8,,,4.92,1.8,0.07,1.52,0.49,,,,,,,,,44,,,,,,,,,,mmol/L,0.104,0.024,,0.111,0.026,0.285,0.214,0.046,0.01,0.038,0.02,,4.9,8.92,7
CAN-f,"Risacher and Fritz, 1991",Bolivia,-21.510896,-67.960798,,location approximate from digitized map,Laguna Canapa,Spring,Inflow,,mg/L,,5.5,1,4.33,0,,,2.98,,,20.56,,,0.32,3.7,,,4.21,3.99,0.03,2.77,0.8,,,,,,,,,44,,,,,,,,,,mmol/L,3.00E-03,0.084,,0.214,0.03,0.131,0.183,0.102,4.00E-03,0.069,0.033,,-2.2,2.18,26.7
CAN-N,"Risacher and Fritz, 1991",Bolivia,-21.507542,-68.01256,,location approximate from digitized map,Laguna Canapa,Brine,Terminal,,mg/L,,5,1.114,7.79,13.4,,,74799.5,,,34197.36,,,629.2,19.9,,,56552.94,6332.58,379.67,573.12,1049.98,,,,,,,,,175485,,,,,,,,,,mmol/L,13.4,2110,,356,58.2,0.71,2460,162,54.7,14.3,43.2,,-0.8,1.17,2.8
HED-a,"Risacher and Fritz, 1991",Bolivia,-21.561471,-68.037633,,location approximate from digitized map,Laguna Hediona,Spring,Inflow,,mg/L,,9,1,6.68,0.9,,,79.05,,,79.06,,,1.5,28.7,,,69.89,8.99,0.48,18,8.8,,,,,,,,,383,,,,,,,,,,mmol/L,0.929,2.23,,0.823,0.139,1.02,3.04,0.23,0.069,0.449,0.362,,1.6,1.36,18.3
HED-b,"Risacher and Fritz, 1991",Bolivia,-21.576875,-68.043825,,location approximate from digitized map,Laguna Hediona,Spring,Inflow,,mg/L,,10,1.006,7.28,3.7,,,3757.7,,,455.32,,,20.97,57.6,,,2098.9,200.14,14.99,299.78,113.99,,,,,,,,,7313,,,,,,,,,,mmol/L,3.65,106,,4.74,1.94,2.05,91.3,5.12,2.16,7.48,4.69,,1.6,0.86,7.6
HED-c,"Risacher and Fritz, 1991",Bolivia,-21.560864,-68.051767,,location approximate from digitized map,Laguna Hediona,Spring,Inflow,,mg/L,,13,1,7,1,,,104.93,,,77.04,,,1.39,34.3,,,80.46,10.01,0.42,18,8.6,,,,,,,,,435,,,,,,,,,,mmol/L,1,2.96,,0.802,0.129,1.22,3.5,0.256,0.061,0.449,0.354,,-1.3,1.18,20.5
